Hours Studied,Attendance,Previous Score,Final Score
8.1,75.3,88.6,58.33
5.5,92.0,60.2,41.84
1.3,86.6,81.8,46.95
2.7,77.1,63.6,30.73
8.9,79.5,64.9,38.19
8.2,75.4,47.3,35.24
1.3,64.9,70.5,37.29
3.4,78.3,46.2,25.89
3.5,84.4,54.9,30.77
8.4,93.7,86.3,48.35
1.2,81.8,47.4,21.32
2.1,88.1,39.3,31.18
9.8,58.0,39.1,17.7
3.0,73.1,91.4,50.0
8.2,50.5,65.4,38.0
3.6,62.3,59.6,24.58
2.1,86.3,83.7,48.24
3.7,99.6,85.1,56.79
8.9,55.0,54.9,30.0
10.4,70.1,76.6,58.49
10.1,90.0,81.3,47.63
5.4,60.2,74.3,43.01
8.3,77.8,44.1,28.48
3.3,86.7,87.6,53.91
4.2,80.8,67.3,40.76
10.9,59.4,51.9,28.27
1.1,67.8,60.5,30.13
1.9,89.2,37.3,15.09
3.3,77.7,42.7,26.29
1.3,50.3,80.9,37.43
3.0,88.0,35.0,24.5
7.4,51.8,60.0,34.84
5.6,87.3,66.4,42.86
10.8,60.1,38.3,24.4
10.0,97.9,93.4,59.32
4.8,68.4,48.6,23.3
3.9,66.3,53.3,32.15
5.2,57.4,53.2,32.04
7.5,65.3,48.8,26.96
3.9,93.8,35.1,24.45
7.9,99.8,78.8,49.78
5.5,68.4,93.0,55.89
7.1,72.4,48.5,31.83
5.8,86.1,74.8,53.65
4.2,94.3,79.5,45.57
11.4,79.7,85.9,53.92
9.4,69.6,60.4,38.01
2.5,70.6,53.2,29.75
10.6,84.8,54.5,37.85
6.4,50.2,77.8,35.61
10.8,81.0,84.0,57.7
9.8,67.8,45.9,31.9
5.7,89.7,57.3,33.4
1.2,54.6,89.1,47.16
4.0,79.4,83.4,52.0
7.0,74.0,94.1,55.09
8.0,82.1,80.3,50.21
3.8,53.2,58.6,29.17
2.5,79.0,70.4,35.27
10.2,78.1,74.7,47.91
11.8,78.0,39.7,21.35
6.8,80.2,67.7,44.91
2.9,83.8,77.6,37.99
4.0,90.2,45.0,34.91
1.2,63.5,81.8,38.62
11.1,91.3,70.0,48.47
2.3,74.9,92.1,46.94
7.3,53.9,37.5,17.52
4.0,52.9,50.9,28.49
7.1,66.7,71.1,30.22
8.2,89.2,52.8,41.83
10.1,85.4,77.9,52.64
3.3,89.4,80.5,42.77
1.1,75.9,41.2,16.32
2.5,72.0,65.8,41.15
10.9,57.4,65.5,34.4
10.6,66.4,57.2,30.99
7.6,71.7,91.0,57.36
7.6,54.4,84.7,46.38
8.3,61.0,76.8,39.21
2.9,79.9,77.9,44.3
11.1,86.8,62.7,40.07
5.6,99.9,90.3,62.08
5.2,96.7,76.7,53.29
6.7,82.1,78.7,49.97
1.5,71.1,86.7,46.26
2.8,81.8,51.4,36.28
9.1,89.3,83.4,54.38
1.9,55.9,46.7,14.64
7.6,70.5,55.7,34.9
3.7,92.0,55.1,42.98
5.3,69.2,93.7,47.55
4.2,78.6,86.4,47.5
4.9,79.4,77.1,46.33
8.9,59.2,78.6,43.82
4.3,68.1,68.7,32.75
7.2,66.7,91.8,56.13
6.2,51.3,64.8,41.33
8.3,51.2,57.8,30.84
11.3,91.6,44.8,32.09
9.1,63.7,82.2,41.13
3.4,75.9,79.1,44.57
1.3,64.9,58.1,31.77
3.9,97.0,36.5,27.74
7.5,63.0,85.3,47.41
1.6,71.5,35.7,14.59
6.5,93.6,77.2,45.34
7.6,92.1,93.2,62.46
4.7,59.3,61.3,34.43
9.5,90.1,49.1,29.9
2.2,72.9,77.3,47.08
1.8,74.1,84.0,46.64
9.0,56.7,67.8,43.16
6.5,54.0,93.0,43.13
8.6,86.4,38.1,22.83
5.8,74.8,65.3,37.24
3.7,71.8,78.1,44.25
10.0,86.5,86.8,63.55
9.8,88.3,45.8,36.91
8.6,57.9,83.0,44.89
4.0,80.5,68.2,35.13
7.5,56.8,58.8,36.21
5.0,87.6,42.9,24.14
2.0,82.8,86.9,54.81
11.1,97.8,44.4,35.72
2.5,53.4,53.6,29.44
11.5,52.9,52.4,33.11
5.9,64.1,87.3,46.8
